Suburb,Region,Rating
Greensborough,Northern,9.4
Greenvale,Northern,7.8
Gruyere,Eastern,0.5
Guys Hill,Southern,2.9
HMAS Cerberus,Southern,6.3
Hadfield,Northern,7.4
Hallam,Southern,8.3
Hampton,Inner South East,9.5
Hampton East,Inner South East,7.7
Hampton Park,Southern,9.3
Harkaway,Southern,2.9
Harkness,Western,5.4
Hastings,Southern,8.8
Hawthorn,Inner South East,9.8
Hawthorn East,Inner South East,8.5
Healesville,Eastern,9
Heath Hill,Southern,0.1
Heatherton,Southern,6.2
Heathmont,Eastern,8.7
Heidelberg,Northern,8.1
Heidelberg Heights,Northern,7.4
Heidelberg West,Northern,7.9
Highett,Southern,8.6
Hoddles Creek,Eastern,0.3
Hoppers Crossing,Western,6.6
Hughesdale,Eastern,8
Humevale,Northern,1
Huntingdale,Eastern,7.9
Hurstbridge,Northern,6.6
Iona,Southern,0.2
Ivanhoe,Northern,9.4
Ivanhoe East,Northern,8.4
Jacana,Northern,7.7
Junction Village,Southern,4.7
Kalkallo,Northern,6.5
Kallista,Eastern,4
Kalorama,Eastern,2.9
Kangaroo Ground,Northern,1.1
Kealba,Western,6.7
Keilor,Western,6.1
Keilor Downs,Western,7.6
Keilor East,Western,7.7
Keilor Lodge,Western,6.9
Keilor North,Western,5.8
Keilor Park,Western,6.9
Kensington,Inner Metro,9.9
Kew,Inner South East,9.2
Kew East,Inner South East,6.6
Keysborough,Southern,6.7
Kilsyth,Eastern,8.2
Kilsyth South,Eastern,5.5
Kinglake,Northern,8.1
Kinglake West,Northern,3
Kings Park,Western,6.3
Kingsbury,Northern,7.3
Kingsville,Western,8.2
Knoxfield,Eastern,6.5
Koo Wee Rup,Southern,7.2
Koo Wee Rup North,Southern,8
Kooyong,Inner South East,7.8
Kurunjang,Western,4.6
Lalor,Northern,7.6
Lang Lang,Southern,7
Lang Lang East,Southern,10
Langwarrin,Southern,6.4
Langwarrin South,Southern,4.8
Launching Place,Eastern,4
Laverton,Western,6
Laverton North,Western,3.2
Lilydale,Eastern,9.3
Little River,Western,3.3
Longwarry,Southern,5.9
Lower Plenty,Northern,1.2
Lynbrook,Southern,8.7
Lyndhurst,Southern,6.3
Lysterfield,Eastern,4.8
Lysterfield South,Southern,2.1
Macclesfield,Eastern,0.3
Macleod,Northern,8
Maidstone,Western,8.4
Main Ridge,Southern,1
Malvern,Inner South East,8.4
Malvern East,Inner South East,8.3
Mambourin,Western,4.4
Manor Lakes,Western,5.1
Maribyrnong,Western,8.4
Maryknoll,Southern,0.5
Matlock,Eastern,0.2
McCrae,Southern,7.2
McKinnon,Inner South East,8.8
McMahons Creek,Eastern,10
Meadow Heights,Northern,7.5
Melbourne,Inner Metro,8.6
Melbourne Airport,Northern,5.3
Melton,Western,9.3
Melton South,Western,9.3
Melton West,Western,5
Mentone,Southern,9.2
Menzies Creek,Southern,5
Mernda,Northern,8.2
Merricks,Southern,3.1
Merricks Beach,Southern,2
Merricks North,Southern,1
Mickleham,Northern,5.6
Middle Park,Inner Metro,7.2
Mill Park,Northern,6.9
Millgrove,Eastern,3.1
Mitcham,Eastern,9.7
Modella,Southern,0.5
Monbulk,Eastern,6.7
Monomeith,Southern,0.5
Mont Albert,Eastern,8.1
Mont Albert North,Eastern,7.3
Montmorency,Northern,9.4
Montrose,Eastern,6.2
Moonee Ponds,Western,9.5
Moorabbin,Southern,8.2
Moorabbin Airport,Southern,5.8
Moorooduc,Southern,1.3
Mooroolbark,Eastern,9.3
Mordialloc,Southern,8.1
Mornington,Southern,6.3
Mount Burnett,Southern,0.1
Mount Cottrell,Western,0.5
Mount Dandenong,Eastern,3.3
Mount Eliza,Southern,7.2
Mount Evelyn,Eastern,5.8
Mount Martha,Southern,6.4
Mount Toolebewong,Eastern,0.2
Mount Waverley,Eastern,9.2
Mulgrave,Eastern,7.2
Murrumbeena,Inner South East,7
Nangana,Southern,0.1
Nar Nar Goon,Southern,5.3
Nar Nar Goon North,Southern,0.3
Narre Warren,Southern,9.2
Narre Warren East,Eastern,1.9
Narre Warren North,Southern,4.7
