suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Calder Park,3037,Brimbank,33,2025,B49 Other theft,0.4545,A231 FV Common assault,0.0909,B41 Motor vehicle theft,0.0909,B53 Obtain benefit by deception,0.0909,B42 Steal from a motor vehicle,0.0606,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Caldermeade,3984,Cardinia,46,2025,B49 Other theft,0.587,B43 Steal from a retail store,0.1087,B51 Forgery and counterfeiting,0.0652,A722 Non-FV Harassment and private nuisance,0.0435,B322 Non-residential non-aggravated burglary,0.0435,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Cambarville,3779,Yarra Ranges,7,2025,B21 Criminal damage,0.2857,B49 Other theft,0.2857,A231 FV Common assault,0.1429,A81 Dangerous driving,0.1429,E13 Resist or hinder officer,0.1429,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Camberwell,3124,Boroondara,1152,2025,B42 Steal from a motor vehicle,0.2161,B43 Steal from a retail store,0.0998,B49 Other theft,0.0877,B53 Obtain benefit by deception,0.0625,B21 Criminal damage,0.0582,4447.7,26,19.4,Inner Eastern Melbourne,2025-09-30,440,600,815,660,838,1195,650,20,17,16,20,15,14,17,78.9,83.8,84.8,80.4,85.7,86.3,84.0
Campbellfield,3061,Hume,1253,2025,B42 Steal from a motor vehicle,0.2283,B49 Other theft,0.1229,B41 Motor vehicle theft,0.1085,B322 Non-residential non-aggravated burglary,0.0798,B21 Criminal damage,0.0607,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Cannons Creek,3977,Casey,34,2025,B42 Steal from a motor vehicle,0.2059,B41 Motor vehicle theft,0.1176,A211 FV Serious assault,0.0882,A231 FV Common assault,0.0882,B21 Criminal damage,0.0882,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,3126,Boroondara,226,2025,B42 Steal from a motor vehicle,0.2434,B321 Residential non-aggravated burglary,0.1372,B311 Residential aggravated burglary,0.0796,B21 Criminal damage,0.0708,B41 Motor vehicle theft,0.0664,4447.7,26,19.4,Inner Eastern Melbourne,2025-09-30,450,570,740,620,800,1100,678,18,24,24,23,16,19,14,81.1,76.8,76.8,77.3,84.7,81.1,87.0
Cape Schanck,3939,Mornington Peninsula,17,2025,B41 Motor vehicle theft,0.2941,B42 Steal from a motor vehicle,0.2353,B321 Residential non-aggravated burglary,0.1765,B311 Residential aggravated burglary,0.1176,A211 FV Serious assault,0.0588,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Capel Sound,3940,Mornington Peninsula,267,2025,B21 Criminal damage,0.1311,B321 Residential non-aggravated burglary,0.0899,B49 Other theft,0.0861,E21 Breach family violence order,0.0861,B42 Steal from a motor vehicle,0.0599,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Cardinia,3978,Cardinia,44,2025,B42 Steal from a motor vehicle,0.1591,B49 Other theft,0.1136,B21 Criminal damage,0.0909,B321 Residential non-aggravated burglary,0.0909,B322 Non-residential non-aggravated burglary,0.0909,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Carlton,3053,Melbourne,2673,2025,B42 Steal from a motor vehicle,0.2316,B49 Other theft,0.1655,B21 Criminal damage,0.062,B44 Theft of a bicycle,0.0582,B43 Steal from a retail store,0.0464,17671.9,1,100.0,Inner Melbourne,2025-09-30,500,670,855,670,950,1100,620,10,9,12,18,9,19,21,90.0,91.9,88.9,82.5,91.8,81.1,80.0
Carlton North,3054,Yarra,441,2025,B42 Steal from a motor vehicle,0.3492,B41 Motor vehicle theft,0.0884,B49 Other theft,0.0884,B21 Criminal damage,0.0771,B321 Residential non-aggravated burglary,0.0522,12460.7,2,96.8,Inner Melbourne,2025-09-30,430,600,778,755,950,1225,760,22,17,20,8,9,12,4,76.7,83.8,80.8,92.8,91.8,88.4,97.0
Carnegie,3163,Glen Eira,818,2025,B42 Steal from a motor vehicle,0.2457,B49 Other theft,0.1235,B321 Residential non-aggravated burglary,0.0721,B41 Motor vehicle theft,0.0648,B21 Criminal damage,0.0636,3838.9,28,12.9,Southern Melbourne,2025-09-30,420,595,775,600,750,1100,570,24,18,21,24,19,19,27,74.4,82.8,79.8,76.3,81.6,81.1,74.0
Caroline Springs,3023,Melton,981,2025,B42 Steal from a motor vehicle,0.1478,B43 Steal from a retail store,0.1397,B49 Other theft,0.0714,E21 Breach family violence order,0.0693,B21 Criminal damage,0.0612,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Carrum,3197,Kingston,206,2025,B42 Steal from a motor vehicle,0.1942,B49 Other theft,0.1068,B41 Motor vehicle theft,0.0922,B21 Criminal damage,0.0728,C32 Drug possession,0.0728,5702.9,15,54.8,Southern Melbourne,2025-09-30,435,545,675,550,680,870,620,21,27,35,31,25,31,21,77.8,73.7,65.7,69.1,75.5,68.4,80.0
Carrum Downs,3201,Frankston,1759,2025,B42 Steal from a motor vehicle,0.1774,E21 Breach family violence order,0.0881,B49 Other theft,0.0813,B21 Criminal damage,0.0745,B43 Steal from a retail store,0.062,8866.5,7,80.6,Mornington Peninsula,2025-09-30,380,470,560,490,560,660,560,29,40,48,41,40,53,29,68.9,60.6,52.5,58.8,60.2,45.3,72.0
Catani,3981,Cardinia,7,2025,A231 FV Common assault,0.1429,A731 FV Threatening behaviour,0.1429,A89 Other dangerous or negligent acts endangering people,0.1429,B21 Criminal damage,0.1429,B322 Non-residential non-aggravated burglary,0.1429,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Caulfield,3162,Glen Eira,292,2025,B42 Steal from a motor vehicle,0.1952,B49 Other theft,0.113,B41 Motor vehicle theft,0.0685,B53 Obtain benefit by deception,0.0685,B321 Residential non-aggravated burglary,0.0548,3838.9,28,12.9,Southern Melbourne,2025-09-30,500,630,810,633,850,1250,650,10,14,17,22,14,11,17,90.0,86.9,83.8,78.4,86.7,89.5,84.0
Caulfield East,3145,Glen Eira,311,2025,B49 Other theft,0.1286,B42 Steal from a motor vehicle,0.1222,B44 Theft of a bicycle,0.1029,B22 Graffiti,0.0997,B21 Criminal damage,0.0868,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Caulfield North,3161,Glen Eira,722,2025,B42 Steal from a motor vehicle,0.2701,B321 Residential non-aggravated burglary,0.115,B49 Other theft,0.0942,B43 Steal from a retail store,0.0776,B41 Motor vehicle theft,0.0582,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Caulfield South,3162,Glen Eira,410,2025,B42 Steal from a motor vehicle,0.2341,B321 Residential non-aggravated burglary,0.0927,B43 Steal from a retail store,0.0854,B49 Other theft,0.0756,B53 Obtain benefit by deception,0.0756,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Chadstone,3148,Monash,854,2025,B42 Steal from a motor vehicle,0.2436,B43 Steal from a retail store,0.1335,B49 Other theft,0.0726,B21 Criminal damage,0.0679,B53 Obtain benefit by deception,0.0667,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,500,580,680,570,630,850,620,10,21,34,30,30,32,21,90.0,79.8,66.7,70.1,70.4,67.4,80.0
Chelsea,3196,Kingston,541,2025,B43 Steal from a retail store,0.1682,B42 Steal from a motor vehicle,0.1183,B49 Other theft,0.1072,B21 Criminal damage,0.085,E21 Breach family violence order,0.0702,5702.9,15,54.8,Southern Melbourne,2025-09-30,435,545,675,550,680,870,620,21,27,35,31,25,31,21,77.8,73.7,65.7,69.1,75.5,68.4,80.0
Chelsea Heights,3196,Kingston,276,2025,B43 Steal from a retail store,0.1413,B42 Steal from a motor vehicle,0.1232,E21 Breach family violence order,0.0942,B49 Other theft,0.0652,B21 Criminal damage,0.058,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,3192,Kingston,1901,2025,B43 Steal from a retail store,0.1962,B42 Steal from a motor vehicle,0.1394,B49 Other theft,0.0889,B21 Criminal damage,0.0742,E21 Breach family violence order,0.0521,5702.9,15,54.8,Southern Melbourne,2025-09-30,450,550,693,585,720,950,635,18,26,33,27,22,25,19,81.1,74.7,67.7,73.2,78.6,74.7,82.0
Chirnside Park,3116,Yarra Ranges,673,2025,B43 Steal from a retail store,0.2972,B49 Other theft,0.0981,B42 Steal from a motor vehicle,0.0862,B53 Obtain benefit by deception,0.0535,E21 Breach family violence order,0.052,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Christmas Hills,3775,Nillumbik,11,2025,E21 Breach family violence order,0.2727,B19 Other fire related offences,0.1818,A231 FV Common assault,0.0909,A232 Non-FV Common assault,0.0909,A83 Throw or discharge object endangering people,0.0909,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Chum Creek,3777,Yarra Ranges,11,2025,B21 Criminal damage,0.2727,D11 Firearms offences,0.1818,A732 Non-FV Threatening behaviour,0.0909,Other crimes against the person,0.0909,B19 Other fire related offences,0.0909,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Clarinda,3169,Kingston,256,2025,B42 Steal from a motor vehicle,0.1992,E21 Breach family violence order,0.0898,B21 Criminal damage,0.0859,B49 Other theft,0.0859,B321 Residential non-aggravated burglary,0.0586,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Clarkefield,3430,Hume,37,2025,B42 Steal from a motor vehicle,0.3243,B21 Criminal damage,0.1622,B41 Motor vehicle theft,0.1351,B49 Other theft,0.1081,E22 Breach intervention order,0.0811,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Clayton,3168,Monash,1914,2025,B42 Steal from a motor vehicle,0.2147,B49 Other theft,0.1207,B43 Steal from a retail store,0.1108,B41 Motor vehicle theft,0.07,B21 Criminal damage,0.0543,5566.4,17,48.4,Inner Eastern Melbourne,2025-09-30,490,590,650,550,603,800,600,12,19,38,31,33,37,23,87.8,81.8,62.6,69.1,67.3,62.1,78.0
Clayton South,3169,Kingston,971,2025,B42 Steal from a motor vehicle,0.2616,B49 Other theft,0.1473,B41 Motor vehicle theft,0.0814,B53 Obtain benefit by deception,0.0639,B21 Criminal damage,0.0628,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Clematis,3782,Cardinia,15,2025,B42 Steal from a motor vehicle,0.2,A211 FV Serious assault,0.1333,E21 Breach family violence order,0.1333,B21 Criminal damage,0.0667,B41 Motor vehicle theft,0.0667,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Clifton Hill,3068,Yarra,575,2025,B42 Steal from a motor vehicle,0.2742,B41 Motor vehicle theft,0.0914,B43 Steal from a retail store,0.0896,B49 Other theft,0.0844,B21 Criminal damage,0.0721,12460.7,2,96.8,Inner Melbourne,2025-09-30,500,690,1050,740,998,1295,725,10,7,4,10,5,10,7,90.0,93.9,97.0,90.7,95.9,90.5,94.0
Clyde,3978,Casey,901,2025,B49 Other theft,0.1987,B42 Steal from a motor vehicle,0.1232,B321 Residential non-aggravated burglary,0.0788,E21 Breach family violence order,0.0766,B21 Criminal damage,0.0744,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Clyde North,3978,Casey,1916,2025,B49 Other theft,0.1519,B42 Steal from a motor vehicle,0.1425,E21 Breach family violence order,0.0783,A231 FV Common assault,0.0699,B21 Criminal damage,0.0684,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Cobblebank,3338,Melton,157,2025,B42 Steal from a motor vehicle,0.1592,B49 Other theft,0.1529,B21 Criminal damage,0.1019,B41 Motor vehicle theft,0.0637,A211 FV Serious assault,0.051,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Coburg,3058,Merri-bek,2025,2025,B42 Steal from a motor vehicle,0.2286,B49 Other theft,0.0983,B21 Criminal damage,0.078,B41 Motor vehicle theft,0.077,B43 Steal from a retail store,0.0686,6119.2,14,58.1,North Western Melbourne,2025-09-30,425,550,700,580,710,850,600,23,26,30,28,23,32,23,75.6,74.7,70.7,72.2,77.6,67.4,78.0
Coburg North,3058,Merri-bek,952,2025,B42 Steal from a motor vehicle,0.2132,B43 Steal from a retail store,0.0966,B41 Motor vehicle theft,0.0788,B49 Other theft,0.0756,B21 Criminal damage,0.0714,6119.2,14,58.1,North Western Melbourne,2025-09-30,280,500,628,540,620,785,550,40,34,40,32,32,39,30,56.7,66.7,60.6,68.0,68.4,60.0,71.0
Cockatoo,3781,Cardinia,146,2025,B322 Non-residential non-aggravated burglary,0.1233,B42 Steal from a motor vehicle,0.0822,E21 Breach family violence order,0.0685,Other crimes against the person,0.0616,B21 Criminal damage,0.0616,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Cocoroc,3030,Wyndham,8,2025,B21 Criminal damage,0.375,B322 Non-residential non-aggravated burglary,0.25,Other crimes against the person,0.125,B49 Other theft,0.125,B51 Forgery and counterfeiting,0.125,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Coldstream,3770,Yarra Ranges,80,2025,B42 Steal from a motor vehicle,0.1875,B21 Criminal damage,0.1625,E21 Breach family violence order,0.1375,Other crimes against the person,0.075,A231 FV Common assault,0.05,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Collingwood,3066,Yarra,2134,2025,B42 Steal from a motor vehicle,0.1373,B43 Steal from a retail store,0.1223,B49 Other theft,0.0918,B21 Criminal damage,0.0881,E23 Breach bail conditions,0.0553,12460.7,2,96.8,Inner Melbourne,2025-09-30,520,695,1000,720,950,1200,650,8,6,6,12,9,13,17,92.2,94.9,94.9,88.7,91.8,87.4,84.0
Coolaroo,3048,Hume,550,2025,B42 Steal from a motor vehicle,0.2091,B21 Criminal damage,0.1255,B49 Other theft,0.1091,B41 Motor vehicle theft,0.08,B43 Steal from a retail store,0.0491,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Cora Lynn,3814,Cardinia,3,2025,Other crimes against the person,0.3333,B322 Non-residential non-aggravated burglary,0.3333,E13 Resist or hinder officer,0.3333,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Cottles Bridge,3099,Nillumbik,10,2025,B21 Criminal damage,0.3,B321 Residential non-aggravated burglary,0.2,E21 Breach family violence order,0.2,B41 Motor vehicle theft,0.1,B45 Receiving or handling stolen goods,0.1,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Craigieburn,3064,Hume,3283,2025,B42 Steal from a motor vehicle,0.1998,B49 Other theft,0.0889,B21 Criminal damage,0.0783,E21 Breach family violence order,0.0768,B41 Motor vehicle theft,0.0701,6346.4,11,67.7,North Western Melbourne,2025-09-30,,440,485,450,500,560,520,,44,56,46,46,61,34,,56.6,44.4,53.6,54.1,36.8,67.0
Cranbourne,3977,Casey,3240,2025,B42 Steal from a motor vehicle,0.1497,E21 Breach family violence order,0.0966,B43 Steal from a retail store,0.0948,B21 Criminal damage,0.0747,B49 Other theft,0.071,5486.1,18,45.2,South Eastern Melbourne,2025-09-30,400,460,530,490,550,600,580,26,42,52,41,42,57,26,72.2,58.6,48.5,58.8,58.2,41.1,75.0
Cranbourne East,3977,Casey,1095,2025,B42 Steal from a motor vehicle,0.1306,A231 FV Common assault,0.0922,B21 Criminal damage,0.084,E21 Breach family violence order,0.0813,B49 Other theft,0.0676,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Cranbourne North,3977,Casey,1265,2025,B42 Steal from a motor vehicle,0.1739,B21 Criminal damage,0.0996,E21 Breach family violence order,0.0957,B41 Motor vehicle theft,0.0719,B49 Other theft,0.0704,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Cranbourne South,3977,Casey,173,2025,B42 Steal from a motor vehicle,0.1561,B49 Other theft,0.1156,E21 Breach family violence order,0.104,B21 Criminal damage,0.0983,B41 Motor vehicle theft,0.0809,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Cranbourne West,3977,Casey,1115,2025,B42 Steal from a motor vehicle,0.1812,B43 Steal from a retail store,0.0771,E21 Breach family violence order,0.0717,B322 Non-residential non-aggravated burglary,0.0673,B41 Motor vehicle theft,0.0673,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Cremorne,3121,Yarra,384,2025,B42 Steal from a motor vehicle,0.1979,B49 Other theft,0.1406,B322 Non-residential non-aggravated burglary,0.1328,B43 Steal from a retail store,0.099,B21 Criminal damage,0.0781,12460.7,2,96.8,,,,,,,,,,,,,,,,,,,,,,,
Crib Point,3919,Mornington Peninsula,169,2025,B42 Steal from a motor vehicle,0.1657,E21 Breach family violence order,0.1538,B21 Criminal damage,0.0888,B49 Other theft,0.071,A231 FV Common assault,0.0592,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Croydon,3136,Maroondah,1588,2025,B42 Steal from a motor vehicle,0.1322,B49 Other theft,0.0737,B43 Steal from a retail store,0.073,B21 Criminal damage,0.0686,E21 Breach family violence order,0.0668,5643.1,16,51.6,Outer Eastern Melbourne,2025-09-30,363,500,620,525,600,730,600,33,34,42,35,34,44,23,64.4,66.7,58.6,64.9,66.3,54.7,78.0
Croydon Hills,3136,Maroondah,65,2025,B42 Steal from a motor vehicle,0.2462,B21 Criminal damage,0.1231,A231 FV Common assault,0.1077,Other crimes against the person,0.0615,B49 Other theft,0.0615,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Croydon North,3136,Maroondah,171,2025,B42 Steal from a motor vehicle,0.117,E21 Breach family violence order,0.0994,B21 Criminal damage,0.0819,Other crimes against the person,0.0702,B43 Steal from a retail store,0.0643,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Croydon South,3136,Maroondah,154,2025,B42 Steal from a motor vehicle,0.2403,E21 Breach family violence order,0.0909,B21 Criminal damage,0.0844,Other crimes against the person,0.0779,B49 Other theft,0.0519,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Dallas,3047,Hume,394,2025,B42 Steal from a motor vehicle,0.1878,B41 Motor vehicle theft,0.0787,B21 Criminal damage,0.0711,B49 Other theft,0.0558,A211 FV Serious assault,0.0508,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Dalmore,3981,Cardinia,13,2025,B42 Steal from a motor vehicle,0.3077,A212 Non-FV Serious assault,0.0769,A232 Non-FV Common assault,0.0769,B19 Other fire related offences,0.0769,B321 Residential non-aggravated burglary,0.0769,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Dandenong,3175,Greater Dandenong,7406,2025,B42 Steal from a motor vehicle,0.1488,E23 Breach bail conditions,0.1234,B21 Criminal damage,0.0867,B43 Steal from a retail store,0.0821,B49 Other theft,0.0697,10169.3,5,87.1,South Eastern Melbourne,2025-09-30,375,450,570,490,560,750,520,30,43,47,41,40,42,34,67.8,57.6,53.5,58.8,60.2,56.8,67.0
Dandenong North,3175,Greater Dandenong,1235,2025,B42 Steal from a motor vehicle,0.1466,B49 Other theft,0.119,B21 Criminal damage,0.1012,E21 Breach family violence order,0.0964,B321 Residential non-aggravated burglary,0.068,10169.3,5,87.1,South Eastern Melbourne,2025-09-30,350,468,550,475,530,630,530,35,41,50,43,43,55,32,62.2,59.6,50.5,56.7,57.1,43.2,69.0
Dandenong South,3175,Greater Dandenong,1286,2025,B49 Other theft,0.2582,B42 Steal from a motor vehicle,0.1649,B322 Non-residential non-aggravated burglary,0.1275,B43 Steal from a retail store,0.084,B41 Motor vehicle theft,0.0809,10169.3,5,87.1,,,,,,,,,,,,,,,,,,,,,,,
Deanside,3336,Melton,270,2025,B49 Other theft,0.1926,B42 Steal from a motor vehicle,0.163,B321 Residential non-aggravated burglary,0.1296,B41 Motor vehicle theft,0.063,B311 Residential aggravated burglary,0.0556,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Deepdene,3103,Boroondara,96,2025,B42 Steal from a motor vehicle,0.2292,B311 Residential aggravated burglary,0.1354,B321 Residential non-aggravated burglary,0.125,B21 Criminal damage,0.0938,E21 Breach family violence order,0.0729,4447.7,26,19.4,,,,,,,,,,,,,,,,,,,,,,,
Deer Park,3023,Brimbank,1180,2025,B42 Steal from a motor vehicle,0.2059,B21 Criminal damage,0.0814,E21 Breach family violence order,0.0746,B41 Motor vehicle theft,0.0712,B49 Other theft,0.0653,7366.8,9,74.2,Outer Western Melbourne,2025-09-30,330,420,482,420,470,550,470,36,45,57,48,50,62,39,61.1,55.6,43.4,51.5,50.0,35.8,62.0
Delahey,3037,Brimbank,249,2025,E21 Breach family violence order,0.2169,B42 Steal from a motor vehicle,0.1807,B21 Criminal damage,0.1044,A231 FV Common assault,0.0522,B49 Other theft,0.0522,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Derrimut,3026,Brimbank,651,2025,B42 Steal from a motor vehicle,0.2396,B322 Non-residential non-aggravated burglary,0.1413,B49 Other theft,0.1244,B41 Motor vehicle theft,0.0876,B21 Criminal damage,0.0645,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Devon Meadows,3977,Casey,80,2025,B42 Steal from a motor vehicle,0.1,A231 FV Common assault,0.0875,B49 Other theft,0.0875,B41 Motor vehicle theft,0.075,E21 Breach family violence order,0.075,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Dewhurst,3809,Cardinia,5,2025,B21 Criminal damage,0.4,A231 FV Common assault,0.2,D11 Firearms offences,0.2,D13 Explosives offences,0.2,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Diamond Creek,3089,Nillumbik,338,2025,B42 Steal from a motor vehicle,0.1568,B49 Other theft,0.0828,B311 Residential aggravated burglary,0.0769,E21 Breach family violence order,0.0769,B21 Criminal damage,0.074,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Diggers Rest,3427,Melton,337,2025,B42 Steal from a motor vehicle,0.1721,B49 Other theft,0.1662,B21 Criminal damage,0.0801,B321 Residential non-aggravated burglary,0.0801,B45 Receiving or handling stolen goods,0.0742,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Dingley Village,3172,Kingston,356,2025,B42 Steal from a motor vehicle,0.2051,B49 Other theft,0.1489,B21 Criminal damage,0.073,B43 Steal from a retail store,0.073,B41 Motor vehicle theft,0.0674,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Dixons Creek,3775,Yarra Ranges,16,2025,B321 Residential non-aggravated burglary,0.125,D12 Prohibited and controlled weapons offences,0.125,A232 Non-FV Common assault,0.0625,A711 FV Stalking,0.0625,A722 Non-FV Harassment and private nuisance,0.0625,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Docklands,3008,Melbourne,3070,2025,B49 Other theft,0.1583,B42 Steal from a motor vehicle,0.0906,B43 Steal from a retail store,0.0726,B21 Criminal damage,0.0619,A232 Non-FV Common assault,0.0599,17671.9,1,100.0,Inner Melbourne,2025-09-30,600,763,1200,,,,700,1,1,1,,,,8,100.0,100.0,100.0,,,,93.0
Don Valley,3139,Yarra Ranges,13,2025,Other crimes against the person,0.3846,B21 Criminal damage,0.1538,A732 Non-FV Threatening behaviour,0.0769,B19 Other fire related offences,0.0769,B311 Residential aggravated burglary,0.0769,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Doncaster,3108,Manningham,1662,2025,B43 Steal from a retail store,0.2065,B42 Steal from a motor vehicle,0.1611,B49 Other theft,0.1018,B321 Residential non-aggravated burglary,0.0678,B53 Obtain benefit by deception,0.0581,3100.2,30,6.5,Inner Eastern Melbourne,2025-09-30,480,595,720,570,660,820,670,13,18,28,30,27,34,16,86.7,82.8,72.7,70.1,73.5,65.3,85.0
Doncaster East,3109,Manningham,766,2025,B42 Steal from a motor vehicle,0.1462,B49 Other theft,0.141,B43 Steal from a retail store,0.1044,B321 Residential non-aggravated burglary,0.094,B21 Criminal damage,0.077,3100.2,30,6.5,Inner Eastern Melbourne,2025-09-30,470,575,695,530,680,830,700,14,23,32,34,25,33,8,85.6,77.8,68.7,66.0,75.5,66.3,93.0
Donnybrook,3064,Whittlesea,461,2025,B49 Other theft,0.1779,B42 Steal from a motor vehicle,0.1453,B321 Residential non-aggravated burglary,0.0998,B21 Criminal damage,0.0954,E21 Breach family violence order,0.0846,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Donvale,3111,Manningham,221,2025,B42 Steal from a motor vehicle,0.2036,B53 Obtain benefit by deception,0.095,B321 Residential non-aggravated burglary,0.0814,B49 Other theft,0.0724,B41 Motor vehicle theft,0.0588,3100.2,30,6.5,Inner Eastern Melbourne,2025-09-30,470,575,695,530,680,830,700,14,23,32,34,25,33,8,85.6,77.8,68.7,66.0,75.5,66.3,93.0
Doreen,3754,Whittlesea,761,2025,B42 Steal from a motor vehicle,0.1787,E21 Breach family violence order,0.1485,B21 Criminal damage,0.0946,B49 Other theft,0.067,A231 FV Common assault,0.0618,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Doveton,3177,Casey,1238,2025,B42 Steal from a motor vehicle,0.185,B43 Steal from a retail store,0.1058,E21 Breach family violence order,0.0775,B49 Other theft,0.0703,B321 Residential non-aggravated burglary,0.0638,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Dromana,3936,Mornington Peninsula,628,2025,E23 Breach bail conditions,0.1401,B321 Residential non-aggravated burglary,0.1019,B42 Steal from a motor vehicle,0.0971,B322 Non-residential non-aggravated burglary,0.0764,B43 Steal from a retail store,0.0701,5236.7,22,32.3,Mornington Peninsula,2025-09-30,393,478,600,490,570,745,595,27,38,44,41,39,43,24,71.1,62.6,56.6,58.8,61.2,55.8,77.0
Eaglemont,3084,Banyule,171,2025,B42 Steal from a motor vehicle,0.3275,B321 Residential non-aggravated burglary,0.1111,B49 Other theft,0.0819,B41 Motor vehicle theft,0.076,E21 Breach family violence order,0.0585,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
East Melbourne,3002,Melbourne,1030,2025,B42 Steal from a motor vehicle,0.3029,B49 Other theft,0.1136,B21 Criminal damage,0.1087,B44 Theft of a bicycle,0.0544,B41 Motor vehicle theft,0.0427,17671.9,1,100.0,Inner Melbourne,2025-09-30,520,690,1175,875,1100,,650,8,7,2,1,3,,17,92.2,93.9,99.0,100.0,98.0,,84.0
East Warburton,3799,Yarra Ranges,32,2025,E22 Breach intervention order,0.1875,B49 Other theft,0.125,A232 Non-FV Common assault,0.0938,B21 Criminal damage,0.0938,A211 FV Serious assault,0.0625,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Eden Park,3757,Whittlesea,20,2025,B49 Other theft,0.2,E21 Breach family violence order,0.15,B19 Other fire related offences,0.1,B42 Steal from a motor vehicle,0.1,A211 FV Serious assault,0.05,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Edithvale,3196,Kingston,170,2025,B42 Steal from a motor vehicle,0.2118,B49 Other theft,0.1235,B21 Criminal damage,0.1059,B41 Motor vehicle theft,0.0824,Other crimes against the person,0.0471,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
