suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
Attwood,3049,Hume,112,2025,B42 Steal from a motor vehicle,0.3304,B41 Motor vehicle theft,0.0893,B53 Obtain benefit by deception,0.0714,E21 Breach family violence order,0.0714,B21 Criminal damage,0.0625,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Avonsleigh,3782,Cardinia,4,2025,Other crimes against the person,0.5,B321 Residential non-aggravated burglary,0.25,B53 Obtain benefit by deception,0.25,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Badger Creek,3777,Yarra Ranges,60,2025,E21 Breach family violence order,0.1833,E22 Breach intervention order,0.1167,B42 Steal from a motor vehicle,0.1,A231 FV Common assault,0.0667,A232 Non-FV Common assault,0.0667,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Balaclava,3183,Port Phillip,632,2025,B42 Steal from a motor vehicle,0.1677,B43 Steal from a retail store,0.1535,B49 Other theft,0.0965,B21 Criminal damage,0.0839,A232 Non-FV Common assault,0.0522,11004.1,3,93.5,,,,,,,,,,,,,,,,,,,,,,,
Balnarring,3926,Mornington Peninsula,104,2025,B42 Steal from a motor vehicle,0.3173,B43 Steal from a retail store,0.1346,B49 Other theft,0.1058,B41 Motor vehicle theft,0.0962,B322 Non-residential non-aggravated burglary,0.0769,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Balnarring Beach,3926,Mornington Peninsula,26,2025,B42 Steal from a motor vehicle,0.4231,B311 Residential aggravated burglary,0.1154,B49 Other theft,0.0769,E21 Breach family violence order,0.0769,A232 Non-FV Common assault,0.0385,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Balwyn,3103,Boroondara,610,2025,B43 Steal from a retail store,0.2344,B42 Steal from a motor vehicle,0.1393,B321 Residential non-aggravated burglary,0.0852,B21 Criminal damage,0.0557,B49 Other theft,0.0557,4447.7,26,19.4,Inner Eastern Melbourne,2025-09-30,500,588,798,570,750,1000,740,10,20,19,30,19,23,6,90.0,80.8,81.8,70.1,81.6,76.8,95.0
Balwyn North,3104,Boroondara,577,2025,B42 Steal from a motor vehicle,0.2114,B321 Residential non-aggravated burglary,0.1248,B311 Residential aggravated burglary,0.104,B49 Other theft,0.0797,B21 Criminal damage,0.0745,4447.7,26,19.4,,,,,,,,,,,,,,,,,,,,,,,
Bangholme,3175,Greater Dandenong,58,2025,B42 Steal from a motor vehicle,0.1897,B49 Other theft,0.1897,B21 Criminal damage,0.069,E21 Breach family violence order,0.069,B11 Cause damage by fire,0.0517,10169.3,5,87.1,,,,,,,,,,,,,,,,,,,,,,,
Baxter,3911,Mornington Peninsula,250,2025,B49 Other theft,0.228,B43 Steal from a retail store,0.116,B42 Steal from a motor vehicle,0.108,E21 Breach family violence order,0.1,B45 Receiving or handling stolen goods,0.052,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Bayles,3981,Cardinia,22,2025,B322 Non-residential non-aggravated burglary,0.3182,E21 Breach family violence order,0.1364,A231 FV Common assault,0.0909,A89 Other dangerous or negligent acts endangering people,0.0909,B42 Steal from a motor vehicle,0.0909,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Bayswater,3153,Knox,881,2025,B42 Steal from a motor vehicle,0.1839,B43 Steal from a retail store,0.1396,B49 Other theft,0.0783,B21 Criminal damage,0.0738,B41 Motor vehicle theft,0.0522,4872.9,25,22.6,Outer Eastern Melbourne,2025-09-30,393,493,590,500,590,675,550,27,36,45,39,37,51,30,71.1,64.6,55.6,60.8,63.3,47.4,71.0
Bayswater North,3153,Maroondah,688,2025,B43 Steal from a retail store,0.1686,B42 Steal from a motor vehicle,0.1265,B49 Other theft,0.1134,B53 Obtain benefit by deception,0.0654,B41 Motor vehicle theft,0.061,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,3807,Casey,508,2025,B42 Steal from a motor vehicle,0.1634,B49 Other theft,0.1122,B41 Motor vehicle theft,0.063,B21 Criminal damage,0.0591,E21 Breach family violence order,0.0571,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield Upper,3808,Cardinia,28,2025,B53 Obtain benefit by deception,0.25,E21 Breach family violence order,0.1071,A231 FV Common assault,0.0714,B321 Residential non-aggravated burglary,0.0714,B42 Steal from a motor vehicle,0.0714,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Beaumaris,3193,Bayside,343,2025,B42 Steal from a motor vehicle,0.2317,B311 Residential aggravated burglary,0.088,B41 Motor vehicle theft,0.0733,B21 Criminal damage,0.0704,B321 Residential non-aggravated burglary,0.0645,4053.5,27,16.1,Southern Melbourne,2025-09-30,480,650,900,650,895,1295,750,13,11,8,21,12,10,5,86.7,89.9,92.9,79.4,88.8,90.5,96.0
Beenak,3139,Yarra Ranges,,,,,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Belgrave,3160,Yarra Ranges,170,2025,B22 Graffiti,0.1941,B43 Steal from a retail store,0.1118,B21 Criminal damage,0.0941,B42 Steal from a motor vehicle,0.0882,A231 FV Common assault,0.0588,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Belgrave Heights,3160,Yarra Ranges,18,2025,E21 Breach family violence order,0.1667,A211 FV Serious assault,0.1111,Other crimes against the person,0.1111,B19 Other fire related offences,0.1111,B21 Criminal damage,0.1111,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Belgrave South,3160,Yarra Ranges,50,2025,B49 Other theft,0.12,E21 Breach family violence order,0.1,Other crimes against the person,0.08,B19 Other fire related offences,0.06,B51 Forgery and counterfeiting,0.06,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Bellfield,3081,Banyule,198,2025,B42 Steal from a motor vehicle,0.1869,E21 Breach family violence order,0.1566,B21 Criminal damage,0.1212,B49 Other theft,0.096,E22 Breach intervention order,0.0455,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Bend of Islands,3097,Nillumbik,,,,,,,,,,,,,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Bentleigh,3204,Glen Eira,716,2025,B42 Steal from a motor vehicle,0.1997,B21 Criminal damage,0.0894,B43 Steal from a retail store,0.0768,B53 Obtain benefit by deception,0.0712,B49 Other theft,0.067,3838.9,28,12.9,Southern Melbourne,2025-09-30,405,590,750,600,735,1025,700,25,19,22,24,20,22,8,73.3,81.8,78.8,76.3,80.6,77.9,93.0
Bentleigh East,3165,Glen Eira,981,2025,B42 Steal from a motor vehicle,0.1988,B49 Other theft,0.0744,E21 Breach family violence order,0.0744,B21 Criminal damage,0.0714,B321 Residential non-aggravated burglary,0.0652,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
Berwick,3806,Casey,2479,2025,B42 Steal from a motor vehicle,0.2166,B49 Other theft,0.0972,B41 Motor vehicle theft,0.0787,E21 Breach family violence order,0.0674,B21 Criminal damage,0.0658,5486.1,18,45.2,South Eastern Melbourne,2025-09-30,,500,550,490,560,620,600,,34,50,41,40,56,23,,66.7,50.5,58.8,60.2,42.1,78.0
Beveridge,3753,Whittlesea,535,2025,E21 Breach family violence order,0.1664,B42 Steal from a motor vehicle,0.1065,B21 Criminal damage,0.0804,B49 Other theft,0.0804,C32 Drug possession,0.0561,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Big Pats Creek,3799,Yarra Ranges,4,2025,A721 FV Harassment and private nuisance,0.25,C32 Drug possession,0.25,E19 Other justice procedures offences,0.25,E21 Breach family violence order,0.25,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
